"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.30034699084689e-07,1.15718036780284,0.277,0.117,0.00229511243884476,"8","TSPAN4"
1.32553468270301e-07,0.633866557718966,0.938,0.706,0.00233956871497081,"8","STK10"
1.33573952456901e-07,1.02333093649765,0.408,0.205,0.00235758026086431,"8","GUSB"
1.36021605971075e-07,0.856198379375995,0.708,0.521,0.00240078134538947,"8","HGSNAT"
1.3610668649071e-07,1.43051602525017,0.377,0.198,0.00240228301656104,"8","C3orf58"
1.3953791945567e-07,1.13098777854707,0.262,0.105,0.00246284427839257,"8","CHEK2"
1.44374558129154e-07,0.720449901524865,0.692,0.446,0.00254821095097957,"8","MTM1"
1.53239632694448e-07,0.911976990275196,0.769,0.537,0.002704679517057,"8","GTDC1"
1.54592376221342e-07,0.821306597362451,0.285,0.121,0.00272855544030669,"8","CD72"
1.60062785617441e-07,0.748030129474679,0.577,0.342,0.00282510816614783,"8","KIAA0100"
1.68995069093598e-07,0.408816906929536,0.985,0.911,0.002982762969502,"8","VPS13C"
1.70478980523961e-07,0.808581801535763,0.638,0.438,0.00300895400624791,"8","SNAP23"
1.85356967977921e-07,1.01011877974595,0.8,0.646,0.00327155048481031,"8","LIMS1"
1.89174909571313e-07,0.52856186902794,0.308,0.138,0.00333893715393368,"8","SMAD1"
2.07988497526151e-07,0.781804046085049,0.631,0.411,0.00367099698133657,"8","KLHL6"
2.0992095603698e-07,0.616825469650439,0.492,0.251,0.0037051048740527,"8","SLC6A6"
2.13457511444446e-07,1.10473147918777,0.646,0.443,0.00376752507699446,"8","DRAM2"
2.14134991217638e-07,1.45439203327193,0.377,0.2,0.00377948259499131,"8","PDK4"
2.17823990724184e-07,0.743953029981563,0.354,0.17,0.00384459343628185,"8","MYOF"
2.19270121051064e-07,0.777453419972237,0.7,0.455,0.00387011763655128,"8","ME2"
2.22706999833049e-07,1.3391224108086,0.323,0.155,0.00393077854705331,"8","IFFO1"
2.26598943866827e-07,0.795201321870702,0.769,0.643,0.00399947135924949,"8","PSEN1"
2.33669575435407e-07,1.28414498816069,0.338,0.164,0.00412426800643493,"8","RARA"
2.38873666030328e-07,0.453853117159793,0.985,0.885,0.00421612020543529,"8","NCOA1"
2.47815258506532e-07,0.734513418860118,0.8,0.656,0.00437393931264029,"8","SNX13"
2.5049671716685e-07,0.562384840667897,0.869,0.707,0.00442126705799491,"8","HMBOX1"
2.62429922186027e-07,0.445706503284888,0.977,0.864,0.00463188812658338,"8","GNB1"
2.62529275392959e-07,0.766051332355388,0.615,0.394,0.00463364171068572,"8","ATP6V1C1"
2.63333726788287e-07,1.04404901269426,0.354,0.167,0.00464784027781326,"8","LFNG"
3.10965083843359e-07,0.49227586055577,0.969,0.904,0.00548853372983529,"8","ELF1"
3.24489317540186e-07,1.13349372707244,0.385,0.197,0.00572723645458428,"8","C1orf162"
3.30570267549873e-07,0.869700517719623,0.523,0.32,0.00583456522225526,"8","ZNF736"
3.34363114969969e-07,0.580785843625033,0.785,0.616,0.00590150897921995,"8","PPIP5K2"
3.45028107636103e-07,1.27668409123167,0.254,0.108,0.00608974609977722,"8","SOCS6"
3.56629279569672e-07,0.803667006502028,0.308,0.136,0.00629450678440471,"8","RIPOR1"
3.59013796376956e-07,0.954529526166207,0.785,0.604,0.00633659350605327,"8","SIPA1L3"
3.84745026568962e-07,1.24741080404104,0.646,0.521,0.00679074971894218,"8","ARHGAP17"
3.9580232608445e-07,0.698182636746438,0.831,0.601,0.00698591105539054,"8","ZCCHC6"
4.16312698163482e-07,0.814617154932356,0.285,0.131,0.00734791912258546,"8","DEPTOR"
4.40328298188474e-07,0.914638364450898,0.515,0.288,0.00777179446302657,"8","PPCDC"
4.53264422025154e-07,0.589129841726366,0.815,0.613,0.00800011704874396,"8","TPK1"
4.81448759765812e-07,0.730904233971336,0.723,0.502,0.00849757060986658,"8","PANK2"
5.09604813347474e-07,1.01750222567455,0.292,0.129,0.00899452495558291,"8","MAPKAPK3"
5.41285300509428e-07,1.0102912222097,0.385,0.211,0.0095536855539914,"8","ETV3"
5.80569355987126e-07,0.532068393963077,0.715,0.497,0.0102470491331728,"8","JUNB"
6.04353536419631e-07,1.40845402354067,0.323,0.167,0.0106668399178065,"8","NEU3"
6.20047095392386e-07,0.528783618696786,0.862,0.688,0.0109438312336756,"8","PIKFYVE"
6.2953697119601e-07,0.918480955007524,0.538,0.327,0.0111113275416096,"8","LPAR6"
6.30407336672444e-07,1.04859121923625,0.515,0.313,0.0111266894922686,"8","MADD"
6.4833383322499e-07,0.497549316871667,0.277,0.122,0.0114430921564211,"8","BCL11A"
6.69211695224157e-07,0.742605152455677,0.5,0.29,0.0118115864207064,"8","SLC36A4"
6.76116630288481e-07,1.06740683069659,0.469,0.284,0.0119334585245917,"8","MIDN"
