"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000432761126602081,0.393532244479444,0.748,0.605,1,"1","NHLRC2"
0.000434842145690873,0.525835637622394,0.371,0.222,1,"1","EPAS1"
0.0004508228149003,0.500372070991908,0.711,0.563,1,"1","LPIN2"
0.000453629420398243,0.481415796430221,0.585,0.404,1,"1","RNF214"
0.000458035077792139,0.323763256475375,0.874,0.776,1,"1","SS18"
0.000460991335661044,0.538065749218583,0.465,0.301,1,"1","ALG8"
0.000463178593375276,0.716409751505883,0.478,0.32,1,"1","MTG2"
0.000465364060895947,0.445001086614574,0.755,0.619,1,"1","EXOC2"
0.000468113325868404,0.276203397741438,0.975,0.927,1,"1","PCMTD1"
0.00046844794095913,0.328462468289544,0.906,0.738,1,"1","MTR"
0.000476864858038009,0.828231618877007,0.27,0.142,1,"1","WDR81"
0.00049131999050171,0.965530043915403,0.352,0.222,1,"1","OSGIN2"
0.000492935846841115,0.329592914136552,0.874,0.808,1,"1","TTC14"
0.00050669878463455,0.471916274255747,0.421,0.262,1,"1","PER1"
0.00051348586327142,0.623858953693239,0.403,0.243,1,"1","FAM45A"
0.000516799460649934,0.505366219889925,0.862,0.747,1,"1","PIK3CA"
0.000523449006151438,0.321320027779842,0.931,0.805,1,"1","ZNF91"
0.000532318135057993,0.338753545824465,0.377,0.228,1,"1","KCTD8"
0.000534152302269103,0.566681355213349,0.679,0.533,1,"1","SLC25A46"
0.00053912060223433,0.4514758222304,0.635,0.458,1,"1","VPS26A"
0.0005411169537244,0.289825157014219,0.805,0.711,1,"1","FHL1"
0.000543016837064163,0.622646586331125,0.352,0.205,1,"1","SFXN4"
0.000549263749924988,0.437197311794407,0.824,0.69,1,"1","RAPGEF2"
0.00055328352463789,0.570827529681226,0.396,0.247,1,"1","TCEA3"
0.000557849883870499,0.894410307355512,0.296,0.167,1,"1","PRKAA2"
0.000562042918483893,0.466991012709134,0.686,0.544,1,"1","TET1"
0.000564712206887719,0.488378544231627,0.654,0.508,1,"1","XKR6"
0.000571689551299979,0.288183725825903,0.906,0.808,1,"1","TLK2"
0.000571692435410731,0.454066726762139,0.717,0.54,1,"1","NAA50"
0.000572050702863657,0.495619143267082,0.585,0.418,1,"1","MARCH5"
0.000572826955154315,0.36357448072616,0.874,0.812,1,"1","VPS54"
0.00057814705594163,0.370405558098946,0.893,0.772,1,"1","ARHGAP32"
0.000579038868592595,0.397140950466605,0.686,0.521,1,"1","DCTN4"
0.000579420003259611,0.498390053096353,0.384,0.222,1,"1","RARRES2"
0.000580669591375736,0.348987194540092,0.792,0.605,1,"1","SPATA5"
0.000583517101580388,0.963435472056857,0.327,0.19,1,"1","EIF4EBP1"
0.000585646100122722,0.576662495813775,0.522,0.366,1,"1","HPS4"
0.000588680724723883,0.354862685670812,0.843,0.715,1,"1","GREB1L"
0.000591988444830585,0.561855388494348,0.421,0.266,1,"1","FZD6"
0.000597724342950763,0.537423150873793,0.566,0.397,1,"1","SMIM8"
0.000599504482114713,0.377527275582298,0.428,0.272,1,"1","MALRD1"
0.000604475292875643,0.32110977896644,0.836,0.649,1,"1","USP9Y"
0.000609688291517957,0.59060967999695,0.774,0.613,1,"1","AAMDC"
0.000618259313814553,0.703561694989642,0.465,0.316,1,"1","FBXO32"
0.00062289634109811,0.682411040219238,0.377,0.232,1,"1","STX6"
0.000624290348752991,0.910246412871172,0.333,0.201,1,"1","WDR77"
0.000625010314025896,0.414938306904923,0.591,0.427,1,"1","ACO2"
0.000633527698978608,0.749336356955219,0.39,0.253,1,"1","NOCT"
0.000636595786400621,0.702759213988019,0.403,0.259,1,"1","CCDC28A"
0.000637091030318772,0.396522406857294,0.786,0.649,1,"1","RHOQ"
0.000644669222139949,0.627620555353964,0.321,0.195,1,"1","FAM78B"
0.000651545714870861,0.823246877799551,0.686,0.554,1,"1","MTSS1"
0.000656114798000176,0.508271473320149,0.642,0.475,1,"1","ZNF160"
0.000656773937403609,0.439697387775127,0.591,0.423,1,"1","TMEM50B"
0.000684316751050472,0.394611465811121,0.711,0.571,1,"1","RMDN1"
0.00069260747511188,0.521323767749567,0.61,0.45,1,"1","WDR48"
0.000692918094416873,0.336053024333007,0.975,0.929,1,"1","EXOC6B"
0.00069335852253346,0.382553751075343,0.887,0.768,1,"1","ST7"
0.000699558805158166,0.396012881757064,0.843,0.707,1,"1","PIGL"
